Description=Generated by CoatingRecipeMaker v4.1.0.76, Engine=MultiThread; AOI=0, POL=A, CHA=0, ConeSteps=21, Data is clipped beyond OD=7
DateTimeCreated=1/26/2023 4:00:55 PM
X(nm)	Y(FractionT)
533.6	1E-07
533.7	1E-07
533.8	1E-07
533.9	1E-07
534	1E-07
534.1	1E-07
534.2	1E-07
534.3	1E-07
534.4	1E-07
534.5	1E-07
534.6	1E-07
534.7	1E-07
534.8	1E-07
534.9	1E-07
535	1E-07
535.1	1E-07
535.2	1E-07
535.3	1E-07
535.4	1E-07
535.5	1E-07
535.6	1E-07
535.7	1E-07
535.8	1E-07
535.9	1E-07
536	1E-07
536.1	1E-07
536.2	1E-07
536.3	1E-07
536.4	1E-07
536.5	1E-07
536.6	1E-07
536.7	1E-07
536.8	1E-07
536.9	1E-07
537	1E-07
537.1	1E-07
537.2	1E-07
537.3	1E-07
537.4	1E-07
537.5	1E-07
537.6	1E-07
537.7	1E-07
537.8	1E-07
537.9	1E-07
538	1E-07
538.1	1E-07
538.2	1E-07
538.3	1E-07
538.4	1E-07
538.5	1E-07
538.6	1E-07
538.7	1E-07
538.8	1E-07
538.9	1E-07
539	1E-07
539.1	1E-07
539.2	1E-07
539.3	1E-07
539.4	1E-07
539.5	1E-07
539.6	1E-07
539.7	1E-07
539.8	1E-07
539.9	1E-07
540	1E-07
540.1	1E-07
540.2	1E-07
540.3	1E-07
540.4	1E-07
540.5	1E-07
540.6	1E-07
540.7	1E-07
540.8	1E-07
540.9	1E-07
541	1E-07
541.1	1E-07
541.2	1E-07
541.3	1E-07
541.4	1E-07
541.5	1E-07
541.6	1E-07
541.7	1E-07
541.8	1E-07
541.9	1E-07
542	1E-07
542.1	1E-07
542.2	1E-07
542.3	1E-07
542.4	1E-07
542.5	1E-07
542.6	1E-07
542.7	1E-07
542.8	1E-07
542.9	1E-07
543	1E-07
543.1	1E-07
543.2	1E-07
543.3	1E-07
543.4	1E-07
543.5	1E-07
543.6	1E-07
543.7	1E-07
543.8	1E-07
543.9	1E-07
544	1E-07
544.1	1E-07
544.2	1E-07
544.3	1E-07
544.4	1E-07
544.5	1E-07
544.6	1E-07
544.7	1E-07
544.8	1E-07
544.9	1E-07
545	1E-07
545.1	1E-07
545.2	1E-07
545.3	1E-07
545.4	1E-07
545.5	1E-07
545.6	1E-07
545.7	1E-07
545.8	1E-07
545.9	1E-07
546	1E-07
546.1	1E-07
546.2	1E-07
546.3	1E-07
546.4	1E-07
546.5	1E-07
546.6	1E-07
546.7	1E-07
546.8	1E-07
546.9	1E-07
547	1E-07
547.1	1E-07
547.2	1E-07
547.3	1E-07
547.4	1E-07
547.5	1E-07
547.6	1E-07
547.7	1E-07
547.8	1E-07
547.9	1E-07
548	1E-07
548.1	1E-07
548.2	1E-07
548.3	1E-07
548.4	1E-07
548.5	1E-07
548.6	1E-07
548.7	1E-07
548.8	1E-07
548.9	1E-07
549	1E-07
549.1	1E-07
549.2	1E-07
549.3	1E-07
549.4	1E-07
549.5	1E-07
549.6	1E-07
549.7	1E-07
549.8	1E-07
549.9	1E-07
550	1E-07
550.1	1E-07
550.2	1E-07
550.3	1E-07
550.4	1E-07
550.5	1E-07
550.6	1E-07
550.7	1E-07
550.8	1E-07
550.9	1E-07
551	1E-07
551.1	1E-07
551.2	1E-07
551.3	1E-07
551.4	1E-07
551.5	1E-07
551.6	1E-07
551.7	1E-07
551.8	1E-07
551.9	1E-07
552	1E-07
552.1	1E-07
552.2	1E-07
552.3	1E-07
552.4	1E-07
552.5	1E-07
552.6	1E-07
552.7	1E-07
552.8	1E-07
552.9	1E-07
553	1E-07
553.1	1E-07
553.2	1E-07
553.3	1E-07
553.4	1E-07
553.5	1E-07
553.6	1E-07
553.7	1E-07
553.8	1E-07
553.9	1E-07
554	1E-07
554.1	1E-07
554.2	1E-07
554.3	1E-07
554.4	1E-07
554.5	1E-07
554.6	1E-07
554.7	1E-07
554.8	1E-07
554.9	1E-07
555	1E-07
555.1	1E-07
555.2	1E-07
555.3	1E-07
555.4	1E-07
555.5	1E-07
555.6	1E-07
555.7	1E-07
555.8	1E-07
555.9	1E-07
556	1E-07
556.1	1E-07
556.2	1E-07
556.3	1E-07
556.4	1E-07
556.5	1E-07
556.6	1E-07
556.7	1E-07
556.8	1E-07
556.9	1E-07
557	1E-07
557.1	1E-07
557.2	1E-07
557.3	1E-07
557.4	1E-07
557.5	1E-07
557.6	1E-07
557.7	1E-07
557.8	1E-07
557.9	1E-07
558	1E-07
558.1	1E-07
558.2	1E-07
558.3	1E-07
558.4	1E-07
558.5	1E-07
558.6	1E-07
558.7	1E-07
558.8	1E-07
558.9	1E-07
559	1E-07
559.1	1E-07
559.2	1E-07
559.3	1E-07
559.4	1E-07
559.5	1E-07
559.6	1E-07
559.7	1E-07
559.8	1E-07
559.9	1E-07
560	1E-07
560.1	1E-07
560.2	1E-07
560.3	1E-07
560.4	1E-07
560.5	1E-07
560.6	1E-07
560.7	1E-07
560.8	1E-07
560.9	1E-07
561	1E-07
561.1	1E-07
561.2	1E-07
561.3	1E-07
561.4	1E-07
561.5	1E-07
561.6	1E-07
561.7	1E-07
561.8	1E-07
561.9	1E-07
562	1E-07
562.1	1E-07
562.2	1E-07
562.3	1E-07
562.4	1E-07
562.5	1E-07
562.6	1E-07
562.7	1E-07
562.8	1E-07
562.9	1E-07
563	1E-07
563.1	1E-07
563.2	1E-07
563.3	1E-07
563.4	1E-07
563.5	1E-07
563.6	1E-07
563.7	1E-07
563.8	1E-07
563.9	1E-07
564	1E-07
564.1	1E-07
564.2	1E-07
564.3	1E-07
564.4	1E-07
564.5	1E-07
564.6	1E-07
564.7	1E-07
564.8	1E-07
564.9	1E-07
565	1E-07
565.1	1E-07
565.2	1E-07
565.3	1E-07
565.4	1E-07
565.5	1E-07
565.6	1E-07
565.7	1E-07
565.8	1E-07
565.9	1E-07
566	1E-07
566.1	1E-07
566.2	1E-07
566.3	1E-07
566.4	1E-07
566.5	1E-07
566.6	1E-07
566.7	1E-07
566.8	1E-07
566.9	1E-07
567	1E-07
567.1	1.04074115070267E-07
567.2	1.44784916347035E-07
567.3	2.02556301524796E-07
567.4	2.85050463314711E-07
567.5	4.03619566345642E-07
567.6	5.75212560891575E-07
567.7	8.25340213231057E-07
567.8	1.19272966509209E-06
567.9	1.73670514989269E-06
568	2.54901718845485E-06
568.1	3.77301791883695E-06
568.2	5.63512318095498E-06
568.3	8.49710655360947E-06
568.4	1.29442331792663E-05
568.5	1.99360295659743E-05
568.6	3.10683921079232E-05
568.7	4.90372741232246E-05
568.8	7.84746893501357E-05
568.9	0.000127487529390028
569	0.000210555097813756
569.1	0.00035412314835639
569.2	0.000607706123562901
569.3	0.00106660455155257
569.4	0.00191998395557737
569.5	0.00355645379331947
569.6	0.00680520348155136
569.7	0.0135085209213824
569.8	0.0279219165832384
569.9	0.0601187074812995
570	0.133251981859532
