Typical Measured Spectrum of Semrock FF01-446/523/600/677 Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
415.4	1.952e-07
415.6	1.1245e-07
415.8	6.4775e-08
416.0	6.2829e-08
416.2	9.6757e-08
416.4	2.1912e-07
416.6	4.9622e-07
416.8	5.9806e-07
417.0	7.2082e-07
417.2	1.0163e-06
417.4	1.7009e-06
417.6	1.6414e-06
417.8	1.5841e-06
418.0	1.5507e-06
418.2	1.5418e-06
418.4	1.533e-06
418.6	1.7532e-06
418.8	2.0687e-06
419.0	2.4932e-06
419.2	3.005e-06
419.4	3.8476e-06
419.6	4.9266e-06
419.8	5.7463e-06
420.0	6.8254e-06
420.2	8.9593e-06
420.4	1.1451e-05
420.6	1.6615e-05
420.8	2.338e-05
421.0	3.348e-05
421.2	4.8611e-05
421.4	6.8856e-05
421.6	9.399e-05
421.8	1.242e-04
422.0	1.6184e-04
422.2	2.1212e-04
422.4	2.794e-04
422.6	3.7203e-04
422.8	4.918e-04
423.0	6.4178e-04
423.2	8.0722e-04
423.4	9.8797e-04
423.6	0.00116
423.8	0.00128
424.0	0.00147
424.2	0.00171
424.4	0.00211
424.6	0.00272
424.8	0.00365
425.0	0.00516
425.2	0.00812
425.4	0.0122
425.6	0.01867
425.8	0.02901
426.0	0.04541
426.2	0.07174
426.4	0.11694
426.6	0.21425
426.8	0.34607
427.0	0.49624
427.2	0.65498
427.4	0.80263
427.6	0.87587
427.8	0.89304
428.0	0.8898
428.2	0.88696
428.4	0.89282
428.6	0.90747
428.8	0.92857
429.0	0.94941
429.2	0.96697
429.4	0.97388
429.6	0.97134
429.8	0.9594
430.0	0.94178
430.2	0.92595
430.4	0.9146
430.6	0.91175
430.8	0.91364
431.0	0.92129
431.2	0.92928
431.4	0.93435
431.6	0.93655
431.8	0.93234
432.0	0.9245
432.2	0.91784
432.4	0.91279
432.6	0.91344
432.8	0.91845
433.0	0.92516
433.2	0.93443
433.4	0.94474
433.6	0.95449
433.8	0.96004
434.0	0.96578
434.2	0.9708
434.4	0.97304
