Wavelength [nm],#5-Filtre-vert.csv
538.26,0.7450090180685145
538.46,0.7688179389879127
538.66,0.7600552576722125
538.86,0.7633600840434188
539.07,0.7873105895567394
539.27,0.7923637956876237
539.47,0.802113155814388
539.67,0.7959796444997707
539.87,0.8042234788682531
540.07,0.8118431411347086
540.27,0.8374595354149167
540.47,0.8284703252327326
540.67,0.8234244276847869
540.87,0.8522385889823856
541.07,0.848528857839201
541.27,0.8462767199004207
541.47,0.8589608401438467
541.67,0.8663301135423014
541.87,0.8672226158527879
542.07,0.8565075623195607
542.27,0.8616187919841963
542.47,0.8615323017860187
542.67,0.8725866879478723
542.87,0.8731626389258886
543.08,0.883213645106506
543.28,0.8860708687698307
543.48,0.8988755042954103
543.68,0.9106515344013277
543.88,0.904886595236324
544.08,0.9280711729926465
544.28,0.9044110790248769
544.48,0.9150625688730585
544.68,0.9321905925240245
544.88,0.9318678046271227
545.08,0.9301786337345775
545.28,0.9397944705119365
545.48,0.9254702205415474
545.68,0.9191609618554909
545.88,0.9276338045289363
546.08,0.9416243217176422
546.28,0.9195903219598407
546.48,0.9148373650483386
546.68,0.9411235352902396
546.88,0.9468630716317292
547.08,0.953513081725563
547.28,0.9302384733098743
547.48,0.92637820647609
547.68,0.9489843558141481
547.88,0.9505442875947038
548.08,0.9293781690628024
548.28,0.9498914908851963
548.48,0.9509109692786508
548.68,0.9446165105596679
548.88,0.9344946491868292
549.08,0.9431737688269921
549.28,0.9398168351695345
549.48,0.9360575752111582
549.68,0.9254844391145229
549.88,0.9361999649755297
550.08,0.922281444593985
550.28,0.9220681908966322
550.48,0.9314415035892385
550.68,0.9133423180095237
550.88,0.9281728363858497
551.08,0.931596055719406
551.28,0.9271572612673227
551.48,0.9285449812434255
551.68,0.9265291221636626
551.88,0.9116778532467836
552.08,0.9342564001147473
552.28,0.905003080278956
552.48,0.8915555995045558
552.68,0.908059858831311
552.88,0.8871546538557322
553.08,0.8938494577658348
553.28,0.8765591941484538
553.48,0.8916447909363858
553.68,0.8929177919918898
553.88,0.9006844537137283
554.08,0.8692244806012485
554.28,0.8815545621182562
554.47,0.856199205806878
554.67,0.8563761773619076
554.87,0.8603246254286059
555.07,0.8495214660831263
555.27,0.8363566505686989
555.47,0.8124079561479937
555.67,0.8203340880059643
555.87,0.8051339143921666
556.07,0.7999077216595003
556.27,0.7788907757169957
556.47,0.788176968719481
556.67,0.7656602089558269
556.87,0.7679709911135737
557.07,0.7558716427095055
557.27,0.7383302828925997
557.47,0.7521582981107562
557.67,0.7297124812932665
557.87,0.7288249316576115
558.07,0.7118144251960667
558.26,0.6953278235189385
558.46,0.6790601269105275
558.66,0.6714139572443287
558.86,0.6606455440283446
559.06,0.6632247654591212
559.26,0.6444366921681904
559.46,0.6301023792378343
559.66,0.6108777438667573
559.86,0.6088112172974265
560.06,0.603714331475175
560.26,0.6057354334624313
560.46,0.5813002121344077
560.66,0.5848859206248928
560.86,0.565159851263824
561.05,0.5539918963444499
561.25,0.5462347271559291
561.45,0.5459759922557056
561.65,0.5303203590363179
561.85,0.5258527035704047
562.05,0.5143999245476981
562.25,0.5089936290916518
562.45,0.5079610895080511
562.65,0.496375918696898
562.85,0.49898887675848097
563.05,0.5030469094613769
563.24,0.486172830002162
563.44,0.4904731218331969
563.64,0.47631859553932065
563.84,0.46973059750839696
564.04,0.47029723683998775
564.24,0.45955397701468587
564.44,0.475713292910068
564.64,0.4593158144561389
564.84,0.4647092997432777
565.03,0.45671428657611113
565.23,0.45858631026141566
565.43,0.4537399184675894
565.63,0.44320969806458693
565.83,0.44427838624419536
566.03,0.4559386651996612
566.23,0.45398469826973065
566.43,0.4553691208012243
566.63,0.4356035338189842
566.82,0.44965233076312044
567.02,0.4510374815599494
567.22,0.4613662541046615
567.42,0.4475850602214202
567.62,0.4487489020556269
567.82,0.4516503865094575
568.02,0.4645137050410597
568.22,0.4611633236097334
568.41,0.48238588108449904
568.61,0.49462171736071897
568.81,0.4784741651312097
569.01,0.4954932036256207
569.21,0.5032190082249984
569.41,0.5098416268626914
569.61,0.5115193735632846
569.8,0.5350407684332696
570.0,0.5192008595726627
570.2,0.5407437505655459
570.4,0.5416633642762947
570.6,0.5594430730785106
570.8,0.5769873015861918
571.0,0.597217718592209
571.19,0.6091988306523058
571.39,0.6078030699206712
571.59,0.6256782138158248
571.79,0.6368691628024147
571.99,0.6647383851303381
572.19,0.6686995403481935
572.38,0.6823151612053318
572.58,0.7046779702889612
572.78,0.7231736553626439
572.98,0.7440287394197121
573.18,0.7747126836901109
573.38,0.7752338092722463
573.57,0.7815609017964216
573.77,0.81325624561656
573.97,0.8190210027393373
574.17,0.8242068711400626
574.37,0.8444942973391508
574.57,0.8529534339578227
574.76,0.8582018723233046
574.96,0.8809373376193557
575.16,0.8806860832348712
575.36,0.9092870064366827
575.56,0.9028890154741882
575.75,0.8925949287160239
575.95,0.8774223984558318
