Typical Measured Spectrum of Semrock LP02-633RE Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
476.8	0.37468
477	0.46543
477.2	0.56331
477.4	0.5964
477.6	0.53005
477.8	0.42311
478	0.33744
478.2	0.28872
478.4	0.27174
478.6	0.28249
478.8	0.32634
479	0.4066
479.2	0.51394
479.4	0.58278
479.6	0.54434
479.8	0.43338
480	0.33453
480.2	0.27369
480.4	0.24766
480.6	0.24981
480.8	0.28154
481	0.35456
481.2	0.47
481.4	0.5687
481.6	0.55359
481.8	0.43947
482	0.32679
482.2	0.25732
482.4	0.22537
482.6	0.22284
482.8	0.24767
483	0.31118
483.2	0.42097
483.4	0.54271
483.6	0.55559
483.8	0.44134
484	0.31676
484.2	0.2398
484.4	0.2029
484.6	0.19629
484.8	0.21616
485	0.27182
485.2	0.37932
485.4	0.5172
485.6	0.54959
485.8	0.43042
486	0.29659
486.2	0.2176
486.4	0.18088
486.6	0.17353
486.8	0.19272
487	0.24766
487.2	0.36046
487.4	0.50695
487.6	0.53491
487.8	0.39264
488	0.25802
488.2	0.18531
488.4	0.15494
488.6	0.15117
488.8	0.1737
489	0.23571
489.2	0.36459
489.4	0.51701
489.6	0.49312
489.8	0.32577
490	0.20583
490.2	0.14939
490.4	0.12982
490.6	0.13406
490.8	0.16566
491	0.25486
491.2	0.42941
491.4	0.52425
491.6	0.37939
491.8	0.21996
492	0.1436
492.2	0.11416
492.4	0.11062
492.6	0.12991
492.8	0.18881
493	0.33488
493.2	0.50805
493.4	0.41863
493.6	0.22952
493.8	0.13573
494	0.10147
494.2	0.09484
494.4	0.1099
494.6	0.16632
494.8	0.31863
495	0.50324
495.2	0.36776
495.4	0.18023
495.6	0.10293
495.8	0.07784
496	0.07506
496.2	0.09414
496.4	0.16164
496.6	0.3554
496.8	0.45167
497	0.23813
497.2	0.10553
497.4	0.06456
497.6	0.05364
497.8	0.05872
498	0.08806
498.2	0.20221
498.4	0.423
498.6	0.29733
498.8	0.11114
499	0.05633
499.2	0.04292
499.4	0.04556
499.6	0.06956
499.8	0.1852
500	0.3987
500.2	0.22129
500.4	0.07046
500.6	0.03687
500.8	0.03045
501	0.03602
501.2	0.07
501.4	0.26038
501.6	0.29967
501.8	0.08372
502	0.03018
502.2	0.02104
502.4	0.02366
502.6	0.05098
502.8	0.24034
503	0.22513
503.2	0.04769
503.4	0.01708
503.6	0.01371
503.8	0.01976
504	0.09631
504.2	0.23012
