Typical Measured Spectrum of Semrock FF596-Di01 Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
518.2	0.00764
518.4	0.00817
518.6	0.00889
518.8	0.00963
519.0	0.01046
519.2	0.01133
519.4	0.01223
519.6	0.01308
519.8	0.01385
520.0	0.01447
520.2	0.01498
520.4	0.01534
520.6	0.01547
520.8	0.01543
521.0	0.01523
521.2	0.01474
521.4	0.01415
521.6	0.01334
521.8	0.0125
522.0	0.01162
522.2	0.01074
522.4	0.00984
522.6	0.00899
522.8	0.00826
523.0	0.00765
523.2	0.00715
523.4	0.00677
523.6	0.00644
523.8	0.00618
524.0	0.00608
524.2	0.00603
524.4	0.00599
524.6	0.00608
524.8	0.00608
525.0	0.00623
525.2	0.00644
525.4	0.00663
525.6	0.00693
525.8	0.00721
526.0	0.00756
526.2	0.00795
526.4	0.00831
526.6	0.00877
526.8	0.00912
527.0	0.00936
527.2	0.00959
527.4	0.00966
527.6	0.00974
527.8	0.00962
528.0	0.00938
528.2	0.00908
528.4	0.00861
528.6	0.00814
528.8	0.00759
529.0	0.00697
529.2	0.00632
529.4	0.00569
529.6	0.00517
529.8	0.0047
530.0	0.00436
530.2	0.00409
530.4	0.00389
530.6	0.00372
530.8	0.00358
531.0	0.0035
531.2	0.00341
531.4	0.00335
531.6	0.00328
531.8	0.00321
532.0	0.0031
532.2	0.00314
532.4	0.00313
532.6	0.0031
532.8	0.00309
533.0	0.00311
533.2	0.00322
533.4	0.00337
533.6	0.00352
533.8	0.00373
534.0	0.00393
534.2	0.00414
534.4	0.00431
534.6	0.00448
534.8	0.0045
535.0	0.00453
535.2	0.00444
535.4	0.00429
535.6	0.00411
535.8	0.00389
536.0	0.00359
536.2	0.00324
536.4	0.00289
536.6	0.0026
536.8	0.00233
537.0	0.00207
537.2	0.00186
537.4	0.00167
537.6	0.00151
537.8	0.00141
538.0	0.00133
538.2	0.00129
538.4	0.00122
538.6	0.00117
538.8	0.00114
539.0	0.00114
539.2	0.00117
539.4	0.00118
539.6	0.00123
539.8	0.00128
540.0	0.00138
540.2	0.00153
540.4	0.00176
540.6	0.00202
540.8	0.00228
541.0	0.00263
541.2	0.00293
541.4	0.00328
541.6	0.00352
541.8	0.00374
542.0	0.00389
542.2	0.00391
542.4	0.0039
542.6	0.00384
542.8	0.00369
543.0	0.00433
543.2	0.0046
