XF3017R,,
Wavelength (nm),%T,
444,-0.0001638047543,
443,0.0002748781117,
442,0.000290082593,
441,0.0003672596649,
440,0.0007795451675,
439,0.0002026520378,
438,-0.0001441910572,
437,-0.0001932293962,
436,0.000339666818,
435,6.877168926E-5,
434,0.0007014268776,
433,-0.0002978320699,
432,0.0001888783736,
431,0.0002401766978,
430,0.0001896180038,
429,9.481070447E-5,
428,0.000720991462,
427,-0.000779167749,
426,-0.000267225405,
425,0.0006975444849,
424,0.0005674487329,
423,-0.0002629065129,
422,0.0001654751977,
421,-0.0002670390531,
420,0.0004996746429,
419,0.0001284567406,
418,0.0001977550273,
417,-0.0002132140653,
416,0.0007683028234,
415,3.541722981E-5,
414,9.124937787E-5,
413,0.0003063956101,
412,-0.0002047142334,
411,0.0002962186409,
410,0.0003973091661,
409,0.000504715892,
408,-0.0001514866744,
407,0.000559262,
406,-0.0002699238248,
405,-0.0004391908878,
404,0.0006560236798,
403,-0.0001109996228,
402,-8.862190589E-5,
401,-0.0001476604666,
400,0.0008826354751,
399,0.0004565144482,
398,0.0004790412786,
397,0.000536033418,
396,0.0003119266767,
395,0.0005821554805,
394,0.0001333865803,
393,0.0005837524659,
392,0.0001026541358,
391,0.0001293258538,
390,0.0004075007746,
389,0.0004595970095,
388,-0.000313753495,
387,0.0001307886414,
386,0.0001468155097,
385,-8.998094563E-5,
384,0.0002739740012,
383,0.0005077415844,
382,0.0001993238548,
381,0.0001419319742,
380,0.0003152751015,
379,-0.0002513756626,
378,-0.0003076863359,
377,0.0006756243529,
376,-0.0002980288118,
375,-0.0005560523714,
374,0.0007928976556,
373,-0.0003112214326,
372,-0.0001847024541,
371,0.000769620121,
370,-0.0002045575675,
369,0.0001952537859,
368,0.0007220717962,
367,-0.0001228565816,
366,0.0003659181239,
365,-9.446427612E-6,
364,0.0001419537148,
363,-7.933806046E-5,
362,0.0001304506295,
361,0.0002408951405,
360,-0.0004050478456,
359,-9.778147069E-5,
358,0.0006125415675,
357,-0.0006937362486,
356,0.0004156929208,
355,0.000254294253,
354,-4.609407188E-5,
353,0.0001173725541,
352,-8.893362065E-6,
351,8.986034663E-5,
350,0.0005286474479,
349,-0.004344104324,
348,0.0002696974552,
347,-0.0001411380072,
346,-0.004273180384,
345,-0.001035483438,
344,-0.004836690612,
343,-0.002989351284,
342,-0.002135263989,
341,-0.002355880337,
340,-0.001171986689,
339,-0.002123496495,
338,0.0001342881587,
337,-0.0002939740079,
336,0.0005308630643,
335,-0.0003280444362,
334,-0.001259060344,
333,-0.001983822789,
332,-0.00238739932,
331,-0.001475098659,
330,-0.003684651107,
329,-0.00101073517,
328,0.0004762921017,
327,-0.001135445898,
326,-0.001837578719,
325,-0.003499437589,
324,-0.001820975216,
323,-0.0002417644719,
322,-0.000553724647,
321,-0.001854195609,
320,-0.0007095765905,
319,-0.0006830921629,
318,-0.0003971220867,
317,-0.001513420371,
316,0.0002783916134,
315,-0.001945663826,
314,-0.0007422388881,
313,8.220645395E-5,
312,-0.001440645079,
311,0.000106342166,
310,-0.001325896708,
309,-0.001661057235,
308,-0.0004071795847,
307,0.0004522569361,
306,-0.0006771666231,
305,-0.002144196071,
304,-0.0005751831923,
303,-0.0009200712084,
302,-0.00153105706,
301,-0.0008506301092,
300,-0.001781615196,
299,-0.0001012133871,
298,-0.001129894517,
